                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79877,                 2.6008,                 1.3187,                0.44172,                0.77625,                0.56229,                0.42983,                0.77875,                  2.673,                 1.4192,             0.00040816,             0.00040816,             0.00040816
                      2,                0.86163,                 1.7975,                 1.3377,                0.39532,                0.38548,                0.34469,                0.15848,                 1.8282,                 3.2714,                 2.3746,               0.000784,               0.000784,               0.000784
                      3,                0.94699,                 1.7025,                 1.3914,                0.57792,                0.36542,                0.36166,                0.20083,                 1.2517,                 3.9605,                 1.9655,              0.0011186,              0.0011186,              0.0011186
                      4,                0.97676,                 1.6278,                 1.4122,                0.71112,                0.61975,                0.73359,                0.48903,                 1.0482,                 2.4468,                 1.7583,              0.0010644,              0.0010644,              0.0010644
                      5,                0.99515,                 1.5657,                 1.4088,                0.74159,                0.51814,                0.70994,                0.43279,                 1.1995,                 2.1713,                 1.8764,              0.0010644,              0.0010644,              0.0010644
                      6,                0.93146,                 1.4074,                 1.3586,                0.73942,                0.82494,                0.85009,                 0.5611,                 1.0495,                  1.547,                 1.6175,              0.0010025,              0.0010025,              0.0010025
                      7,                0.91868,                 1.3469,                 1.3556,                0.79241,                0.80902,                0.88621,                0.63155,                0.93916,                 1.3476,                 1.4911,             0.00094062,             0.00094062,             0.00094062
                      8,                0.87786,                 1.2524,                 1.3159,                0.80023,                0.83375,                0.91107,                0.65474,                0.99168,                 1.1804,                 1.5371,             0.00087875,             0.00087875,             0.00087875
                      9,                0.90397,                 1.2224,                  1.326,                0.76781,                0.80395,                0.85561,                0.54326,                 1.1042,                 1.3561,                 1.6616,             0.00081688,             0.00081688,             0.00081688
                     10,                0.86593,                 1.1438,                 1.3241,                0.83047,                0.90171,                0.93532,                0.68662,                 0.9204,                 1.0831,                 1.4638,               0.000755,               0.000755,               0.000755
                     11,                0.77489,                 1.1955,                 1.3365,                0.83182,                0.80542,                0.88936,                 0.6462,                0.89999,                 1.2525,                 1.4899,             0.00069313,             0.00069313,             0.00069313
                     12,                0.72085,                 1.0518,                 1.2938,                0.85602,                0.86094,                0.92196,                0.69982,                0.83516,                 1.0528,                 1.3974,             0.00063125,             0.00063125,             0.00063125
                     13,                 0.6662,                0.96455,                 1.2533,                0.83085,                0.81867,                0.89723,                0.69279,                0.76332,                 1.0962,                  1.327,             0.00056938,             0.00056938,             0.00056938
                     14,                0.65202,                0.88153,                 1.2274,                0.80009,                0.85549,                0.87875,                0.68666,                0.80276,                 1.0416,                 1.3516,              0.0005075,              0.0005075,              0.0005075
                     15,                0.59727,                0.79107,                 1.1754,                0.91867,                 0.8582,                0.95116,                0.79187,                0.67515,                0.82387,                  1.211,             0.00044563,             0.00044563,             0.00044563
                     16,                0.58329,                0.74233,                 1.1659,                0.89091,                0.94261,                0.96214,                0.78852,                0.68278,                 0.7975,                 1.2232,             0.00038375,             0.00038375,             0.00038375
                     17,                0.54711,                0.67998,                 1.1275,                0.88636,                0.91817,                 0.9518,                 0.7956,                0.65704,                0.77004,                  1.247,             0.00032188,             0.00032188,             0.00032188
                     18,                0.51497,                0.63815,                 1.0959,                0.92401,                0.93365,                0.96878,                0.81416,                0.62365,                0.68741,                 1.1821,                0.00026,                0.00026,                0.00026
                     19,                0.49528,                0.61168,                 1.0819,                0.92433,                0.94686,                0.97227,                0.81745,                0.61998,                0.65199,                 1.1867,             0.00019813,             0.00019813,             0.00019813
                     20,                 0.4686,                0.57246,                 1.0566,                0.92392,                0.93753,                0.97184,                0.83129,                0.60168,                0.60555,                 1.1846,             0.00013625,             0.00013625,             0.00013625
