                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47296,                0.43921,                 1.0435,                0.95468,                0.93129,                0.97627,                0.86044,                0.54816,                0.40603,                 1.1224,             0.00040816,             0.00040816,             0.00040816
                      2,                0.50377,                0.46293,                 1.0531,                0.92863,                 0.8799,                0.95086,                0.78334,                0.66804,                0.62563,                 1.2474,             0.00081666,             0.00081666,             0.00081666
                      3,                0.55324,                0.55701,                 1.0913,                0.78941,                0.81739,                0.86539,                0.70468,                0.73733,                 1.0615,                 1.3222,              0.0012169,              0.0012169,              0.0012169
                      4,                0.60274,                0.58959,                 1.1183,                0.84882,                0.89341,                0.92331,                0.73032,                 0.7881,                 0.7436,                 1.3484,              0.0012129,              0.0012129,              0.0012129
                      5,                0.61973,                0.59795,                 1.1198,                0.84387,                0.78683,                0.89432,                0.66956,                 0.8646,                0.89486,                 1.4652,              0.0012129,              0.0012129,              0.0012129
                      6,                 0.6233,                0.60172,                 1.1336,                0.88803,                0.85199,                0.92817,                0.76279,                0.69554,                0.67274,                 1.3045,              0.0012005,              0.0012005,              0.0012005
                      7,                0.63568,                0.60982,                 1.1431,                0.91295,                0.87123,                0.94529,                0.77465,                0.70615,                0.59802,                 1.2828,              0.0011881,              0.0011881,              0.0011881
                      8,                0.60156,                0.58361,                 1.1181,                0.90871,                0.87168,                 0.9355,                0.77143,                0.69488,                0.60494,                 1.2585,              0.0011757,              0.0011757,              0.0011757
                      9,                0.63695,                0.60986,                 1.1278,                0.85683,                0.84432,                0.91262,                0.71109,                0.81299,                0.74316,                 1.3952,              0.0011634,              0.0011634,              0.0011634
                     10,                0.63563,                0.58765,                 1.1491,                0.90086,                0.87339,                0.91248,                0.65504,                0.95713,                0.78748,                 1.6064,               0.001151,               0.001151,               0.001151
                     11,                0.64224,                0.61204,                 1.1422,                0.82782,                0.92255,                0.92619,                0.71215,                0.85724,                0.80017,                 1.4144,              0.0011386,              0.0011386,              0.0011386
                     12,                0.62038,                0.60575,                 1.1359,                0.93248,                0.91018,                0.96484,                0.77106,                0.77552,                0.56145,                 1.3371,              0.0011263,              0.0011263,              0.0011263
                     13,                0.62458,                0.60132,                 1.1379,                0.92553,                0.95236,                0.96809,                0.78317,                0.71891,                0.52042,                 1.3037,              0.0011139,              0.0011139,              0.0011139
                     14,                0.61439,                 0.6036,                 1.1239,                0.88789,                0.93448,                0.95728,                0.79723,                0.66851,                0.58067,                 1.2133,              0.0011015,              0.0011015,              0.0011015
                     15,                0.60822,                0.60236,                 1.1317,                 0.8863,                0.92918,                0.94922,                0.77664,                0.71851,                 0.6014,                  1.312,              0.0010891,              0.0010891,              0.0010891
                     16,                 0.6381,                0.61094,                 1.1564,                0.84751,                 0.9002,                0.93086,                0.75026,                0.74159,                0.68374,                 1.3007,              0.0010768,              0.0010768,              0.0010768
                     17,                0.63914,                0.60326,                 1.1429,                0.88386,                0.88287,                0.93121,                  0.723,                0.81528,                0.66503,                 1.4155,              0.0010644,              0.0010644,              0.0010644
